,2005-09-28 19:00:00+00:00
agency_cd,USGS
site_no,391825104272101
sample_dt,2005-09-28
sample_tm,13:00
sample_end_dt,
sample_end_tm,
sample_start_time_datum_cd,-0600
tm_datum_rlbty_cd,K
coll_ent_cd,USGS-WRD
medium_cd,WG
project_cd,8582BCF99
aqfr_cd,
tu_id,
body_part_id,
hyd_cond_cd,X
samp_type_cd,9
hyd_event_cd,X
sample_lab_cm_txt,
p00010,14.2
p00025,601
p00028,80020
p00090,-182
p00095,304
p00191,M  
p00300,0.5
p00301,6
p00400,8.8
p00403,7.5
p00405,0.4
p00452,2
p00453,168
p00607,< 0.02 
p00608,0.19
p00613,< 0.008 
p00618,< 0.060 
p00631,< 0.06 
p00660,0.067
p00671,0.022
p00681,0.41
p00900,22.3
p00915,8.1
p00925,0.47
p00930,59.4
p00931,5.49
p00932,84
p00935,1.83
p00940,2.41
p00945,15.6
p00950,0.97
p00955,11.8
p01000,E 0.09 noc
p01005,43.0
p01010,< 0.060 
p01020,70
p01025,< 0.040 
p01030,0.06
p01035,< 0.040 oc
p01040, 0.75 oc
p01046,43.1
p01049,0.62
p01056,18.5
p01057,< 0.040 
p01060,2.01
p01065,< 0.06 oc
p01075,< 0.200 
p01080,129
p01085,< 0.10 oc
p01090, 112 oc
p01095,< 0.200 
p01106,E 1.3 n
p01130,1.67
p01145,< 0.08 oc
p07000,-0.3
p22703,< 0.040 
p39086,140
p50280,2001
p62854,0.21
p63676,0.3
p70300,164
p70301,E 185 
p70303,0.22
p71846,0.25
p71851,< 0.266 
p71856,< 0.026 
p71870, 0.054 @
p71999,15.0
p72004,31
p75985,1.0
p82082,-104
p82085,-13.88
p90095,299
p99111,1
p99114,0.04
p99115,0.04
p99118,0.006
