,2004-11-17 20:30:00+00:00
agency_cd,USGS
site_no,392616104260601
sample_dt,2004-11-17
sample_tm,13:30
sample_end_dt,
sample_end_tm,
sample_start_time_datum_cd,-0700
tm_datum_rlbty_cd,K
coll_ent_cd,USGS-WRD
medium_cd,WG
project_cd,85829BI19
aqfr_cd,
tu_id,
body_part_id,
hyd_cond_cd,A
samp_type_cd,9
hyd_event_cd,9
sample_lab_cm_txt,A-3230003 voc 5 drops hclL-3230003 changed SID per dist (Flynn). 11/22/04 gb
p00003,347
p00010,14.3
p00020,12.0
p00025,608
p00028,80020
p00090,-266
p00095,336
p00191,2e-05
p00300,M  
p00301,0.0
p00400,7.7
p00403,E 6.9 
p00405,6.3
p00453,175
p00607,< 0.01 
p00608,0.15
p00613,< 0.008 
p00618,< 0.060 
p00631,< 0.06 
p00660,0.037
p00671,0.012
p00681,E 0.24 n
p00900,56.7
p00915,19.9
p00925,1.62
p00930,50.3
p00931,2.92
p00932,64
p00935,3.71
p00940,3.69
p00945,21.3
p00950,1.36
p00955,14.0
p01000,0.7
p01005,39.3
p01010,< 0.060 
p01020,50
p01025,< 0.040 
p01030,< 0.8 
p01035,0.11
p01040,0.8
p01046,< 6.0 
p01049,0.195
p01056,26.9
p01057,< 0.040 
p01060,3.33
p01065,0.22
p01075,< 0.200 
p01080,309
p01085,< 0.1 
p01090,6.7
p01095,< 0.200 
p01106,E 1.4 n
p01130,3.44
p01145,< 0.4 
p04022,< 0.010 
p04025,< 0.013 
p04035,< 0.005 
p04036,< 0.005 
p04037,< 0.010 
p04040,< 0.006 
p04095,< 0.0030 
p22703,0.135
p30210,69.8
p30217,< 0.050 b
p32101,< 0.028 b
p32102,< 0.06 b
p32103,< 0.13 
p32104,< 0.10 
p32105,< 0.10 
p32106,< 0.02 b
p34010,< 0.02 b
p34030,< 0.021 b
p34215,< 0.80 
p34301,< 0.028 b
p34311,< 0.12 
p34371,< 0.030 b
p34396,< 0.14 
p34413,< 0.3 mc
p34418,< 0.2 mc
p34423,< 0.06 b
p34475,< 0.030 b
p34488,< 0.08 b
p34496,< 0.035 b
p34501,< 0.024 b
p34506,< 0.032 b
p34511,< 0.040 b
p34516,< 0.08 b
p34536,< 0.048 b
p34541,< 0.0290 b
p34546,< 0.032 b
p34551,< 0.12 
p34566,< 0.030 b
p34571,< 0.034 b
p34668,< 0.18 mc
p34696,< 0.52 
p34699,< 0.09 b
p34704,< 0.05 b
p38454,< 0.08 
p38775,< 0.01 
p38933,< 0.0050 
p39086,145
p39175,< 0.08 b
p39180,< 0.038 b
p39381,< 0.009 
p39415,< 0.006 
p39532,< 0.027 
p39572,< 0.0050 
p39632,< 0.007 
p39702,< 0.14 
p46342,< 0.005 
p49260,< 0.006 
p49295,< 0.0882 
p49991,< 1.0 
p49999,< 0.14 
p50000,< 0.140 
p50002,< 0.10 
p50004,< 0.030 b
p50005,< 0.04 b
p50280,2001
p61585,< 0.008 
p61586,< 0.009 
p61591,< 0.029 
p61593,< 0.387 
p61594,< 0.003 
p61596,< 0.005 
p61598,< 0.006 
p61599,< 0.008 
p61601,< 0.008 
p61618,< 0.005 
p61620,< 0.005 
p61625,< 0.0045 
p61633,< 0.0057 
p61635,< 0.070 
p61636,< 0.06 
p61638,< 0.01 
p61644,< 0.002 
p61645,< 0.049 
p61646,< 0.04 
p61649,< 0.003 
p61652,< 0.030 
p61664,< 0.030 
p61666,< 0.105 
p61668,< 0.0511 
p61674,< 0.068 
p62166,< 0.016 
p62167,< 0.013 
p62168,< 0.024 
p62169,< 0.029 
p62170,< 0.012 
p62854,0.16
p63676,0.1
p70300, 208 d
p70301,E 203 
p70303,0.28
p71846,0.196
p71851,< 0.266 
p71856,< 0.026 
p71870,0.13
p71875,U  
p71999,15.0
p72004,30
p72019,228.9
p73547,< 0.7 b
p73570,< 0.18 
p76002,26
p77041,< 0.038 b
p77093,< 0.024 b
p77103,< 0.4 b
p77128,< 0.042 b
p77135,< 0.038 b
p77168,< 0.026 b
p77170,< 0.05 b
p77173,< 0.06 b
p77220,< 0.060 b
p77221,< 0.060 b
p77222,< 0.056 b
p77223,< 0.038 b
p77224,< 0.042 b
p77226,< 0.044 b
p77275,< 0.040 b
p77277,< 0.050 b
p77297,< 0.12 b
p77342,< 0.12 
p77350,< 0.060 b
p77353,< 0.060 b
p77356,< 0.08 b
p77424,< 0.50 mc
p77443,< 0.180 
p77562,< 0.030 b
p77613,< 0.18 
p77651,< 0.036 b
p77652,< 0.038 b
p78032,< 0.10 
p78109,< 0.50 mc
p78133,< 0.37 b
p81552,< 6.0 
p81555,< 0.028 b
p81576,< 0.1 b
p81577,< 0.10 
p81593,< 0.40 
p81595,< 2.0 
p81597,< 0.20 
p81607,< 1.0 
p82082,-105
p82085,-13.82
p82303,530
p82346,< 0.004 
p82398,4045
p82625,< 0.510 
p82630,< 0.006 
p82660,< 0.0060 
p82661,< 0.009 
p82662,< 0.0061 
p82664,< 0.011 
p82667,< 0.015 
p82670,< 0.016 
p82673,< 0.010 
p82675,< 0.017 
p82676,< 0.0040 
p82680,< 0.041 
p82682,< 0.0030 
p82683,< 0.022 
p82686,< 0.050 
p82687,< 0.006 
p84164,4041
p85795,< 0.06 b
p90095,314
p90867,< 0.3 
p99111,1
p99832,101
p99833,94.4
p99834,90.8
p99871,0.0
p99972,917
p99994,92.5
p99995,98.8
